CO_Concentration,Humidity,R1_Up_Slope,R1_Down_Slope,R2_Up_Slope,R2_Down_Slope,R3_Up_Slope,R3_Down_Slope,R4_Up_Slope,R4_Down_Slope,R5_Up_Slope,R5_Down_Slope,R6_Up_Slope,R6_Down_Slope,R7_Up_Slope,R7_Down_Slope,R8_Up_Slope,R8_Down_Slope,R9_Up_Slope,R9_Down_Slope,R10_Up_Slope,R10_Down_Slope,R11_Up_Slope,R11_Down_Slope,R12_Up_Slope,R12_Down_Slope,R13_Up_Slope,R13_Down_Slope,R14_Up_Slope,R14_Down_Slope
6.67,65.96,12.06,-5.75,13.13,-6.14,14.56,-6.79,5.2,-2.49,13.46,-6.14,13.33,-5.83,12.41,-6.07,4.94,-2.94,4.58,-2.19,4.67,-2.44,4.81,-2.35,4.77,-2.91,4.61,-2.01,5.06,-2.64
8.89,49.5469,11.94,-6.11,13.11,-5.86,13.77,-6.73,8.45,-3.77,13.89,-6.34,13.85,-5.65,13.01,-5.94,8.69,-3.69,6.34,-3.38,7.91,-3.36,7.35,-2.85,7.69,-3.27,6.29,-2.88,7.61,-3.4
13.33,29.02,12.09,-6.47,13.01,-6.1,14.21,-6.95,10.05,-4.71,14.58,-6.98,14.22,-6.1,14.7,-6.72,7.18,-3.06,5.92,-2.84,5.93,-2.97,5.78,-2.41,6.1,-2.79,5.19,-2.37,5.92,-3.1
15.56,39.18,12.62,-6.6,14.33,-7.02,14.85,-6.19,9.33,-4.37,14.62,-6.85,14.54,-6.67,15.57,-6.96,4.04,-2.35,4.21,-2.11,4.03,-2.11,3.61,-2.1,4.28,-2.39,3.49,-1.82,3.89,-2.47
8.89,37.06,11.97,-6.68,12.99,-6.36,14.09,-6.74,9.92,-4.64,14.45,-6.76,14.55,-6.67,14.22,-6.8,3.89,-2.03,3.82,-1.79,3.43,-1.76,3.38,-1.96,3.97,-2.37,3.83,-1.63,3.08,-2.65
6.67,30.1,14.05,-6.55,15.22,-6.21,15.46,-6.58,10.74,-4.39,16.6,-6.78,15.98,-6.99,15.36,-6.86,7.59,-3.47,6.86,-2.86,6.78,-3.1,6.6,-2.81,7.01,-3.2,6.42,-3.0,6.96,-3.18
2.22,45.43,13.84,-7.53,15.49,-7.37,15.57,-7.06,9.73,-4.23,15.46,-6.73,14.54,-6.2,14.85,-6.6,9.46,-3.65,8.02,-3.26,8.69,-3.68,8.59,-3.25,8.54,-3.87,8.38,-3.62,9.04,-3.75
0,26.29,14.98,-7.43,13.68,-6.87,14.72,-7.1,11.05,-4.2,16.25,-6.64,16.19,-6.61,17.19,-6.53,15.08,-5.32,10.89,-4.41,12.92,-5.05,12.71,-5.02,13.46,-5.01,12.09,-4.95,13.1,-5.0
4.44,65.96,12.52,-6.26,12.62,-5.91,14.73,-6.73,5.09,-2.39,14.61,-6.4,13.17,-5.65,14.93,-6.22,16.1,-5.46,11.06,-4.56,16.82,-5.94,14.86,-5.14,13.87,-5.44,10.77,-4.4,13.7,-5.01
0,43.36,12.45,-6.66,12.51,-5.85,12.79,-6.25,8.63,-3.78,12.94,-5.78,12.21,-5.72,13.64,-6.1,10.97,-4.26,8.32,-3.9,10.52,-4.17,9.91,-3.77,9.57,-4.28,8.72,-4.26,10.08,-4.12
20,56.12,11.29,-6.3,13.27,-5.69,13.5,-6.46,7.75,-3.39,12.65,-6.05,12.62,-5.67,13.19,-6.31,12.43,-4.61,11.48,-4.5,13.71,-5.71,13.34,-4.7,12.92,-4.88,9.45,-4.22,13.99,-5.21
17.78,21.9,14.82,-6.78,14.95,-7.02,15.58,-6.97,12.07,-4.94,16.42,-6.72,16.02,-7.36,16.32,-7.82,2.56,-1.69,2.8,-1.53,0.18,-1.16,0.69,-1.22,2.89,-1.88,0.17,-1.23,2.75,-1.64
13.33,48.53,14.21,-6.63,13.4,-6.41,15.82,-6.87,8.68,-3.62,15.53,-6.61,14.54,-6.5,15.37,-7.02,3.98,-1.82,3.75,-1.79,3.14,-1.79,3.57,-1.55,3.63,-2.21,3.47,-1.7,3.81,-1.86
17.78,65.96,11.35,-5.94,12.54,-5.75,12.71,-6.08,5.31,-2.49,12.28,-5.88,12.19,-5.97,13.43,-6.14,4.93,-2.1,4.26,-2.18,4.25,-2.22,3.5,-2.17,4.24,-2.53,3.61,-1.77,4.4,-2.25
2.22,57.13,10.63,-6.09,11.39,-5.7,13.05,-6.38,6.28,-2.94,12.24,-5.99,12.46,-5.83,11.34,-4.93,4.26,-1.81,3.66,-1.79,3.46,-1.85,3.59,-1.76,3.89,-2.47,4.03,-1.84,3.82,-2.13
20,66.96,8.22,-4.2,7.98,-3.49,11.2,-5.22,4.42,-1.97,9.92,-4.62,10.07,-4.4,10.67,-4.74,8.85,-3.77,0.0,-1.08,10.3,-4.08,9.69,-3.65,8.37,-3.31,4.27,-1.85,9.16,-3.9
15.56,53.64,7.91,-4.04,8.54,-3.81,10.11,-5.05,5.64,-2.69,9.2,-4.7,9.69,-4.32,10.47,-4.99,0.2,-1.72,0.0,-1.08,0.18,-1.29,0.69,-1.3,0.01,-1.17,0.01,-1.16,0.28,-1.29
20,50.61,8.14,-3.88,9.02,-4.31,10.58,-5.05,5.64,-2.76,9.91,-4.73,9.9,-4.42,10.4,-4.96,2.54,-1.76,0.01,-1.08,2.53,-1.75,2.76,-1.58,0.02,-1.17,0.02,-1.16,2.67,-1.85
4.44,67.96,7.93,-3.79,9.43,-4.22,10.39,-4.86,3.96,-1.9,9.48,-4.43,9.44,-4.42,9.47,-4.85,0.77,-1.09,0.01,-1.08,0.77,-1.15,2.43,-1.68,0.82,-1.17,0.3,-1.16,2.23,-1.87
15.56,42.37,8.31,-4.26,10.31,-4.61,11.1,-5.18,6.67,-2.98,10.89,-4.84,10.22,-4.47,10.4,-5.2,7.47,-2.96,0.01,-1.08,7.73,-3.29,6.87,-2.86,6.19,-2.89,5.03,-2.35,6.82,-3.18
6.67,60.66,7.92,-3.92,10.14,-4.4,11.34,-5.24,4.94,-2.34,9.76,-4.51,9.97,-4.32,10.54,-4.98,2.62,-1.86,0.04,-1.08,2.73,-1.83,2.8,-1.99,2.9,-1.54,0.74,-1.12,2.97,-2.04
2.22,39.74,8.31,-4.16,10.36,-4.53,11.24,-5.13,6.3,-3.16,10.42,-5.1,10.3,-4.72,10.54,-5.15,6.02,-2.56,3.45,-1.57,6.12,-2.79,5.46,-2.61,5.91,-2.52,5.07,-2.32,6.01,-3.08
11.11,58.18,8.32,-4.26,11.16,-4.99,11.01,-5.14,5.27,-2.35,10.65,-4.63,11.19,-4.57,10.72,-5.01,9.26,-3.67,4.24,-1.94,8.91,-3.79,8.72,-3.35,8.18,-3.48,6.5,-2.63,9.16,-3.62
2.22,67.98,8.21,-4.11,9.99,-4.37,10.57,-5.28,4.14,-1.85,10.28,-4.8,10.62,-4.65,10.12,-4.95,4.01,-2.1,0.4,-1.46,4.26,-1.94,3.77,-2.25,4.27,-1.95,0.88,-1.21,3.58,-2.83
13.33,69.42,7.81,-4.14,7.7,-3.06,11.38,-5.52,4.01,-1.86,9.8,-4.76,9.97,-4.53,10.54,-5.23,8.18,-3.46,3.86,-1.63,8.85,-3.74,7.83,-3.2,7.99,-3.31,3.92,-1.78,8.28,-3.67
4.44,58.69,7.96,-4.26,9.84,-4.82,10.74,-5.25,5.37,-2.52,10.04,-4.59,9.81,-4.5,10.54,-5.27,3.57,-1.75,0.21,-1.49,3.16,-1.93,2.9,-2.29,3.43,-1.68,0.84,-1.26,2.99,-2.57
6.67,33.37,8.95,-4.48,10.69,-5.01,11.28,-5.52,7.53,-3.53,11.22,-5.37,10.29,-4.72,11.8,-5.39,7.43,-3.17,4.68,-2.09,7.15,-3.5,7.04,-3.08,7.45,-3.17,6.31,-2.89,7.11,-3.64
0,59.68,8.83,-4.21,10.89,-4.86,12.49,-5.42,5.67,-2.36,12.11,-5.26,10.74,-4.7,10.8,-5.04,6.15,-2.81,4.01,-1.83,6.07,-2.77,6.03,-2.56,5.71,-2.66,4.67,-2.18,6.32,-2.95
15.56,57.7,9.07,-4.32,11.07,-4.84,11.35,-5.67,5.79,-2.64,11.8,-5.12,11.79,-4.81,11.41,-5.7,11.06,-4.37,5.5,-2.63,10.68,-4.54,10.81,-4.23,10.9,-4.14,8.28,-3.34,11.38,-4.5
8.89,53.69,8.76,-4.38,10.28,-4.82,11.38,-5.57,5.82,-2.38,11.29,-5.16,10.21,-4.68,11.22,-5.24,2.8,-1.89,0.28,-1.12,2.57,-1.85,2.53,-2.31,2.9,-1.52,0.72,-1.17,2.65,-2.28
15.56,43.95,9.08,-4.54,11.26,-5.16,11.92,-5.82,7.07,-3.31,11.35,-5.54,10.67,-4.89,11.06,-4.81,4.78,-2.29,3.86,-1.85,4.27,-2.54,4.44,-2.27,4.8,-2.19,3.53,-1.97,4.38,-2.78
13.33,54.7,8.27,-4.43,10.58,-5.18,12.96,-5.91,6.53,-2.86,11.34,-5.54,11.14,-5.11,11.57,-5.78,3.0,-1.79,0.08,-1.09,2.59,-1.98,2.76,-1.94,2.52,-1.7,0.17,-1.19,2.84,-2.17
15.56,38.18,9.22,-4.72,11.71,-5.48,13.03,-5.95,7.7,-3.44,12.6,-5.75,11.4,-5.34,12.29,-6.15,3.84,-1.79,2.96,-1.56,3.51,-1.75,3.21,-2.04,3.45,-1.61,2.65,-1.62,3.21,-2.37
8.89,63.13,9.1,-4.83,10.89,-5.27,12.29,-6.08,5.46,-2.52,11.05,-5.47,11.93,-5.66,18.21,-7.87,3.51,-1.78,0.41,-1.48,3.26,-1.54,3.19,-1.97,3.21,-1.63,0.76,-1.18,2.82,-2.53
11.11,37.11,9.75,-4.88,11.89,-5.21,12.96,-6.34,8.23,-3.86,12.86,-5.75,12.96,-5.68,12.32,-6.04,5.11,-2.5,4.17,-2.13,5.24,-2.4,4.4,-2.62,5.07,-2.32,3.87,-2.17,4.58,-2.84
0,54.17,9.2,-4.93,11.61,-5.44,12.08,-5.91,6.75,-3.02,12.36,-5.65,12.55,-5.5,13.01,-6.07,4.61,-2.15,3.87,-1.68,3.77,-2.3,4.12,-2.2,4.25,-1.94,3.47,-1.86,4.34,-2.27
15.56,57.17,10.08,-5.04,11.61,-5.43,12.43,-6.08,6.39,-2.8,12.94,-5.78,12.54,-5.38,13.0,-5.94,12.38,-4.55,7.71,-3.38,11.16,-4.42,11.58,-4.06,11.46,-4.27,9.09,-3.6,11.73,-4.55
17.78,46.5,9.35,-5.12,11.5,-5.5,12.94,-6.47,7.67,-3.67,12.73,-6.37,12.79,-5.6,13.12,-6.26,3.15,-1.65,0.02,-1.08,2.7,-1.87,2.84,-1.97,2.84,-1.62,0.02,-1.72,2.73,-2.27
11.11,53.63,9.56,-5.11,11.77,-5.51,12.25,-5.98,7.04,-3.08,12.19,-5.96,12.5,-5.85,13.19,-6.15,2.51,-1.92,0.28,-1.08,2.49,-1.68,2.25,-2.18,0.77,-1.15,0.38,-1.72,2.69,-1.93
0,72.2,10.41,-5.32,12.62,-5.64,12.65,-5.78,4.17,-1.74,11.33,-5.17,11.97,-5.61,11.74,-5.87,4.63,-2.16,3.43,-1.72,4.25,-1.98,4.05,-1.98,3.97,-1.95,0.81,-1.14,4.04,-2.26
11.11,59.11,10.0,-5.0,11.81,-5.54,12.53,-5.73,6.1,-2.92,11.79,-5.65,12.42,-5.08,12.04,-5.89,13.14,-4.83,8.33,-3.23,11.95,-4.64,12.39,-4.06,11.63,-4.18,8.12,-3.46,11.72,-4.46
13.33,63.04,9.72,-5.29,11.1,-5.17,12.43,-6.19,5.63,-2.68,11.48,-5.58,11.52,-5.37,12.29,-5.71,4.67,-2.32,3.76,-1.87,4.69,-2.18,4.21,-2.05,4.07,-2.17,3.08,-1.75,4.32,-2.46
15.56,31.72,9.77,-5.17,11.77,-5.45,13.47,-6.08,9.09,-4.02,12.42,-5.61,12.14,-5.62,12.59,-6.22,3.39,-2.0,3.02,-1.78,3.51,-1.81,3.31,-2.21,3.65,-1.93,3.0,-1.81,3.21,-2.72
17.78,48.52,10.29,-5.15,13.13,-5.75,14.01,-6.4,7.8,-3.49,12.41,-6.07,12.96,-5.67,12.36,-6.47,3.12,-1.98,2.79,-1.56,2.77,-1.99,2.64,-2.28,2.9,-1.72,0.02,-1.74,2.89,-2.15
2.22,71.22,9.55,-5.11,11.35,-5.68,12.47,-6.1,4.3,-2.02,10.78,-5.27,12.34,-5.4,12.69,-5.92,2.66,-1.69,0.42,-1.6,2.44,-1.75,2.55,-1.72,0.9,-1.33,0.44,-1.74,2.35,-2.15
8.89,53.6,10.93,-5.59,12.72,-5.68,13.31,-6.51,7.6,-3.39,13.2,-6.02,13.06,-5.71,13.12,-6.12,10.71,-4.24,7.83,-3.26,9.86,-4.19,9.59,-3.14,9.37,-3.99,7.74,-3.54,9.46,-4.23
0,69.79,10.37,-5.68,11.81,-5.54,12.54,-6.14,4.59,-2.2,11.89,-5.82,12.65,-5.54,13.0,-6.07,5.89,-2.56,4.29,-2.1,5.08,-2.49,4.91,-2.41,5.08,-2.32,3.62,-1.69,5.35,-2.44
17.78,30.63,11.18,-5.55,13.18,-6.14,14.3,-6.49,9.85,-4.29,14.06,-6.25,12.74,-5.81,14.11,-6.27,11.77,-4.88,9.26,-4.31,12.41,-4.94,12.24,-4.69,12.91,-4.14,11.26,-4.77,12.91,-4.7
4.44,33.86,11.21,-5.61,12.61,-5.91,12.93,-6.33,9.4,-4.21,14.01,-6.4,13.27,-6.22,13.73,-6.72,2.85,-1.85,0.76,-1.11,2.49,-1.72,2.66,-1.69,2.66,-1.63,0.87,-1.41,2.55,-2.12
11.11,48.52,12.63,-6.38,12.75,-6.03,13.2,-6.52,8.5,-3.76,14.61,-6.46,14.87,-6.44,14.48,-6.1,8.73,-3.68,7.08,-3.19,6.44,-2.39,7.81,-3.38,7.98,-3.36,7.16,-3.08,8.38,-3.6
17.78,26.28,12.28,-6.19,14.5,-6.39,14.42,-6.63,9.61,-4.63,14.93,-6.72,14.54,-6.41,14.49,-6.21,4.68,-2.31,4.49,-2.07,4.74,-2.18,4.46,-2.05,4.55,-2.29,3.7,-2.13,4.43,-2.49
4.44,67.87,12.28,-6.29,12.14,-5.81,13.54,-5.89,5.19,-2.16,12.37,-5.77,13.61,-5.96,12.63,-5.89,2.83,-1.73,0.45,-1.72,2.4,-1.77,2.61,-1.81,2.5,-1.62,0.77,-1.28,2.63,-1.94
13.33,58.1,11.42,-5.84,13.48,-6.02,13.55,-6.32,6.66,-2.98,13.6,-6.21,13.05,-5.71,13.77,-5.99,8.73,-3.72,7.24,-3.31,8.92,-3.53,7.82,-3.49,8.08,-3.44,6.41,-2.93,8.37,-3.49
17.78,62.5303,10.6,-5.67,12.9,-5.64,13.07,-5.97,6.18,-2.76,11.76,-5.74,12.14,-5.68,12.8,-5.97,4.33,-1.98,3.69,-1.88,3.47,-2.49,3.92,-1.88,4.13,-2.02,2.91,-1.85,3.98,-2.37
11.11,29.55,11.03,-5.52,13.01,-6.09,13.05,-6.39,9.37,-4.48,14.17,-6.47,11.56,-5.78,12.77,-6.39,3.2,-1.49,0.42,-1.58,2.44,-1.8,2.61,-1.88,2.75,-1.68,0.76,-1.28,2.49,-2.21
2.22,24.1,11.35,-5.94,12.98,-6.77,13.78,-6.59,11.08,-4.85,14.81,-6.62,14.88,-6.51,14.52,-6.8,5.12,-2.34,4.39,-2.3,4.54,-2.37,3.81,-2.67,4.52,-2.31,3.46,-2.48,4.1,-2.87
13.33,20.78,13.25,-7.09,15.3,-6.83,17.55,-7.46,13.77,-5.34,20.57,-7.97,19.15,-6.89,17.09,-7.12,12.07,-4.43,9.35,-3.9,11.11,-4.72,10.78,-3.94,10.57,-4.31,10.15,-4.32,10.71,-4.37
2.22,35.46,14.49,-7.24,16.12,-6.57,16.03,-6.67,10.82,-4.41,15.31,-7.16,15.81,-6.77,18.03,-7.88,3.68,-2.33,3.69,-1.88,3.75,-1.96,3.31,-2.52,3.83,-1.71,3.08,-2.08,3.59,-2.36
15.56,45.42,12.99,-6.8,14.68,-6.3,15.48,-6.46,10.0,-4.09,16.44,-6.72,15.8,-6.78,16.51,-6.74,11.36,-4.64,8.84,-3.87,11.21,-4.35,10.02,-3.98,10.39,-4.25,9.64,-4.11,10.45,-4.36
11.11,22.44,13.97,-7.48,14.79,-7.07,15.2,-7.43,12.08,-5.39,16.59,-7.57,15.78,-7.05,16.13,-6.72,3.71,-1.98,3.19,-1.67,3.15,-1.65,2.97,-2.27,3.39,-1.94,2.73,-1.89,2.98,-2.49
20,54.6,12.24,-6.47,13.45,-6.23,13.78,-6.67,7.76,-3.6,13.84,-6.55,15.07,-6.53,14.58,-6.44,5.09,-2.47,4.46,-2.26,4.97,-2.1,4.45,-2.46,4.92,-2.38,3.68,-2.37,4.73,-2.61
2.22,44.38,11.61,-5.95,12.74,-6.1,14.1,-6.59,8.63,-3.86,13.59,-6.35,13.04,-5.84,12.86,-6.14,2.43,-2.03,0.46,-1.67,0.74,-1.27,2.24,-1.76,0.88,-1.31,0.84,-1.18,2.35,-1.73
20,54.09,12.51,-5.97,13.11,-5.86,14.24,-6.19,7.93,-3.3,14.14,-5.89,13.75,-6.01,14.09,-6.43,10.81,-4.28,8.92,-3.98,11.78,-4.66,11.73,-4.05,11.06,-4.28,9.97,-4.03,10.47,-4.36
6.67,46.45,10.77,-5.76,12.54,-5.87,12.65,-6.62,7.92,-3.97,12.52,-5.99,12.89,-5.91,13.35,-6.53,2.57,-1.74,0.42,-1.59,0.72,-1.3,2.22,-1.8,2.21,-1.79,0.8,-1.33,2.05,-2.11
17.78,49.52,12.21,-6.64,12.5,-5.95,14.73,-6.83,7.66,-3.18,12.98,-6.31,12.72,-5.92,13.92,-6.02,8.19,-3.23,6.33,-3.01,7.52,-3.42,7.03,-3.06,6.93,-3.22,6.81,-2.94,7.5,-3.25
0,46.44,11.83,-6.05,11.92,-5.7,12.79,-6.4,7.82,-3.74,12.35,-6.18,12.08,-5.78,12.86,-6.14,2.9,-2.22,0.79,-1.16,2.44,-1.8,2.8,-1.71,2.89,-1.76,1.8,-2.16,2.54,-2.25
13.33,71.66,12.46,-5.65,12.79,-5.43,13.05,-6.22,4.32,-1.97,11.44,-5.33,12.93,-5.38,14.24,-5.87,13.55,-4.87,9.58,-4.07,13.88,-5.09,14.29,-4.51,13.48,-4.18,7.5,-2.6,14.03,-4.58
6.67,74.94,10.87,-5.31,12.6,-5.36,13.67,-5.64,4.06,-1.6,10.71,-4.75,13.39,-5.29,13.16,-5.55,4.47,-1.94,3.68,-1.72,3.79,-2.07,3.52,-2.5,4.38,-1.68,0.39,-1.72,3.74,-2.49
20,58.56,10.81,-5.41,12.65,-5.38,13.54,-6.15,7.12,-3.1,12.63,-5.74,12.73,-5.04,13.59,-5.73,9.04,-3.46,6.57,-2.71,8.23,-3.4,7.5,-3.26,7.62,-3.15,6.18,-2.61,7.95,-3.28
0,53.06,10.81,-5.41,12.54,-5.46,13.28,-6.04,7.72,-3.36,12.88,-5.04,11.66,-4.97,13.83,-5.98,2.87,-1.68,0.48,-1.74,0.78,-1.35,2.42,-1.88,2.71,-1.62,0.87,-1.19,2.51,-1.83
8.89,62.49,11.26,-5.23,12.55,-5.34,13.69,-6.08,6.62,-2.87,13.23,-5.06,13.21,-5.22,12.79,-5.8,15.01,-5.1,10.63,-3.82,14.68,-4.99,14.96,-2.01,13.88,-4.37,9.91,-3.71,15.03,-5.01
4.44,29.52,11.05,-5.39,14.08,-5.86,14.27,-6.34,9.7,-4.12,14.12,-5.7,13.91,-5.39,13.84,-6.15,6.4,-2.98,6.07,-2.58,6.62,-2.87,6.09,-2.65,6.27,-2.92,4.92,-2.88,5.91,-3.16
13.33,34.89,11.85,-5.79,12.97,-5.92,15.76,-6.37,10.07,-3.99,14.94,-6.82,14.44,-6.01,14.49,-6.3,10.02,-4.26,7.97,-3.72,9.69,-3.91,9.72,-3.77,8.61,-2.99,9.26,-3.54,10.18,-3.81
2.22,62.49,11.43,-5.54,13.08,-5.54,13.66,-6.47,6.43,-2.98,12.35,-5.85,13.67,-5.39,14.01,-6.33,4.42,-2.56,4.24,-2.15,4.41,-2.24,4.24,-2.24,4.37,-2.37,3.49,-2.21,4.41,-2.55
20,27.34,12.74,-6.22,13.63,-6.22,15.65,-5.99,11.27,-4.79,15.54,-6.6,14.75,-6.14,14.63,-6.36,13.29,-4.88,10.52,-4.16,12.96,-4.85,12.78,-4.11,12.3,-4.34,11.18,-4.61,13.33,-4.44
6.67,48.43,12.8,-6.11,14.23,-6.36,14.73,-5.95,8.56,-3.91,14.33,-6.09,14.63,-6.1,14.53,-6.46,2.58,-2.02,0.46,-1.68,0.76,-1.29,2.3,-2.04,2.62,-1.86,0.87,-1.45,2.36,-2.09
15.56,61.93,11.93,-6.25,13.75,-5.85,14.97,-6.05,6.59,-3.01,14.28,-6.08,13.45,-6.01,14.62,-6.36,8.97,-3.37,7.19,-3.06,8.66,-3.5,7.98,-3.1,7.8,-3.39,6.61,-2.94,8.12,-3.53
4.44,64.37,12.14,-5.51,13.5,-5.74,15.12,-6.24,6.74,-2.72,14.47,-5.97,13.75,-6.27,13.78,-6.26,4.21,-2.4,4.09,-1.78,3.71,-2.03,4.0,-1.91,4.14,-2.12,3.49,-1.58,4.17,-2.13
0,28.4,12.43,-5.94,14.09,-6.3,14.71,-6.4,10.71,-4.46,15.22,-6.48,14.62,-5.97,15.28,-6.05,10.4,-3.82,8.33,-3.81,10.21,-4.04,9.91,-3.77,10.26,-4.06,9.57,-3.87,9.87,-4.2
8.89,54.48,13.96,-6.32,16.33,-5.79,17.43,-5.94,10.13,-3.59,16.2,-6.21,16.97,-6.5,17.57,-6.36,18.96,-4.92,15.49,-4.39,17.89,-5.27,18.46,-2.04,16.72,-4.73,14.59,-4.97,15.81,-4.78
6.67,46.8631,14.59,-6.25,16.51,-5.97,19.15,-6.25,10.68,-3.95,19.85,-6.34,16.29,-5.89,19.29,-6.71,8.64,-3.01,7.32,-2.76,7.72,-2.92,7.9,-2.52,7.61,-2.94,7.13,-2.54,8.21,-2.86
4.44,50.45,14.75,-6.13,15.9,-5.59,15.82,-6.28,10.44,-3.45,15.74,-5.77,15.68,-5.51,16.08,-5.89,9.62,-3.25,9.0,-2.91,9.14,-3.35,8.79,-2.67,8.45,-3.35,7.99,-2.93,10.36,-3.21
8.89,33.78,14.65,-6.14,18.49,-6.04,18.62,-6.89,11.69,-4.58,17.54,-6.35,17.2,-6.1,18.51,-6.31,12.12,-3.96,11.45,-3.82,12.17,-4.5,11.47,-3.67,12.75,-3.91,11.14,-3.8,11.61,-4.2
0,54,14.32,-5.99,16.19,-5.85,16.99,-6.94,9.17,-3.59,17.05,-6.81,18.05,-5.89,17.21,-6.35,8.8,-3.25,7.32,-2.7,7.86,-2.73,7.78,-2.59,7.87,-2.97,6.77,-2.55,7.19,-3.17
4.44,71.1004,15.01,-6.29,14.84,-5.69,16.09,-5.95,5.84,-2.11,15.51,-5.17,17.3,-5.65,15.89,-5.88,18.65,-5.38,12.87,-4.2,15.06,-4.92,17.57,-1.76,17.02,-5.01,10.13,-3.1,16.15,-4.66
8.89,39.64,13.83,-5.69,15.26,-5.87,16.22,-6.03,10.75,-3.83,15.53,-6.11,16.74,-5.5,18.25,-6.25,11.48,-3.85,10.04,-3.58,10.84,-3.95,10.98,-3.61,11.65,-3.91,10.24,-3.81,11.39,-4.14
11.11,52.53,13.66,-5.58,14.97,-6.18,17.68,-6.53,9.5,-3.63,16.21,-5.86,16.03,-5.55,16.75,-6.18,7.58,-2.96,6.79,-2.86,7.64,-2.82,7.01,-2.68,7.36,-2.94,6.19,-2.67,7.56,-3.26
6.67,34.9,15.02,-6.28,15.3,-5.98,17.96,-6.24,12.47,-4.15,18.4,-6.26,16.95,-5.53,17.07,-5.93,5.86,-2.93,5.48,-2.37,6.06,-2.29,6.23,-2.12,6.28,-2.57,5.12,-2.26,6.53,-2.47
4.44,38.09,14.22,-6.44,16.73,-6.54,19.35,-6.58,12.36,-4.12,19.43,-6.47,17.57,-6.22,17.41,-6.43,10.28,-3.8,8.22,-3.29,9.83,-3.34,9.33,-3.11,8.95,-3.3,8.26,-3.12,10.12,-3.16
11.11,32.24,14.98,-6.62,16.95,-6.49,19.27,-6.98,13.3,-4.62,17.87,-6.7,18.39,-6.38,18.81,-6.66,11.18,-3.96,9.21,-3.81,11.6,-3.55,10.33,-3.88,11.1,-4.02,10.3,-3.81,11.82,-3.94
6.67,70.74,16.42,-6.25,19.9,-6.48,21.65,-6.73,7.17,-2.13,18.06,-5.49,20.64,-6.02,19.15,-5.95,6.93,-2.52,6.56,-2.18,6.43,-2.14,6.87,-2.09,6.19,-2.5,4.55,-2.16,5.75,-2.73
8.89,72.19,15.6,-5.44,18.32,-5.34,19.99,-6.22,6.9,-2.06,17.08,-5.19,18.71,-5.45,19.04,-5.92,10.58,-3.22,8.07,-2.87,10.63,-2.94,10.11,-2.95,11.02,-3.04,6.44,-2.19,11.29,-3.12
13.33,57.62,14.91,-5.24,17.92,-5.27,17.72,-5.96,9.68,-3.18,18.62,-5.19,18.79,-5.03,17.93,-5.63,9.32,-2.8,6.77,-2.64,7.88,-2.65,8.89,-2.43,7.83,-2.87,7.35,-2.31,9.08,-2.79
15.56,53.63,16.5,-5.25,18.09,-5.38,20.46,-5.78,11.66,-3.22,20.54,-5.8,18.12,-5.39,18.6,-5.92,5.9,-2.39,5.63,-1.88,5.61,-1.91,5.72,-1.95,6.49,-2.06,4.48,-2.02,5.32,-2.33
8.89,49.57,16.83,-5.36,19.72,-5.87,19.6,-6.1,11.64,-3.46,19.88,-5.62,18.35,-5.46,20.29,-5.86,4.69,-2.17,5.33,-1.62,5.13,-1.6,4.68,-1.74,5.49,-1.87,3.49,-1.93,3.67,-2.7
6.67,42.35,16.57,-5.79,19.27,-5.75,19.16,-5.97,14.04,-3.81,18.88,-5.88,20.85,-5.54,20.77,-5.88,9.46,-3.16,8.59,-2.62,8.7,-2.71,9.19,-2.55,9.63,-2.72,8.45,-2.39,8.21,-3.06
2.22,54.65,17.62,-5.61,19.08,-5.68,20.09,-6.25,11.32,-3.37,20.18,-6.14,19.36,-5.77,21.18,-5.99,12.51,-3.46,11.31,-2.77,11.82,-2.96,10.71,-3.19,11.25,-3.11,10.03,-2.83,11.61,-3.21
0,38.14,16.52,-5.63,20.11,-5.86,22.14,-6.73,14.8,-4.31,20.29,-6.04,18.92,-5.91,20.99,-6.25,17.67,-4.69,15.69,-4.16,17.44,-4.72,18.09,-4.25,17.14,-4.45,16.06,-4.35,17.23,-4.48
4.44,70.79,17.3,-5.51,18.21,-5.43,19.31,-6.02,6.59,-2.15,19.94,-5.53,20.82,-5.53,19.47,-5.94,21.03,-4.96,16.31,-4.25,17.32,-4.6,21.98,-1.89,19.96,-4.62,13.22,-3.31,19.8,-4.58
0,51.6,15.91,-5.55,18.88,-6.16,18.83,-5.86,11.55,-3.44,19.06,-5.8,19.78,-5.77,20.03,-5.66,15.08,-4.17,10.75,-3.51,13.64,-3.41,14.26,-3.42,14.39,-3.6,12.16,-3.44,13.81,-3.82
20,62.09,16.59,-5.29,17.02,-5.44,18.96,-5.78,8.95,-2.92,18.02,-5.49,18.8,-5.49,20.2,-5.6,22.46,-5.73,14.92,-4.36,20.42,-4.9,22.42,-4.9,18.94,-4.83,15.28,-4.14,20.33,-4.88
17.78,33.3499,21.38,-5.97,28.13,-5.86,28.78,-7.04,20.02,-4.69,28.64,-6.09,24.67,-6.44,25.22,-6.88,4.39,-1.71,0.13,-1.12,0.21,-2.12,3.18,-1.9,3.75,-1.78,0.17,-1.21,3.6,-1.85
